id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46721515,“Heaven can Wait”,66321361,Estelle,,Ward 69,-34.13141,18.39901,Entire home/apt,23162,14,0,,,1,365,0,
46737179,"Bright, easily accessible to wine farms and beach",253228224,Shizelle,,Ward 72,-34.04915,18.47148,Entire home/apt,800,14,8,2022-01-31,0.53,1,101,7,
46739754,Stunning Studio - Villa Watsonia,51141328,Gill,,Ward 23,-33.81543,18.47771,Private room,1250,3,9,2022-03-27,0.58,2,32,8,
46740851,Ibugbe Self Catering bnb next to Canal walk,377742140,Namhla,,Ward 4,-33.88508,18.52964,Entire home/apt,392,2,1,2022-02-28,1,1,331,1,
46740917,Ocean View Studio - Includes breakfast daily,377742607,Sami-Jo,,Ward 54,-33.94684,18.38078,Entire home/apt,1020,1,62,2022-03-23,3.99,11,66,47,
46742152,Forest View Pod - includes free breakfast,377742607,Sami-Jo,,Ward 54,-33.9465,18.3794,Entire home/apt,894,1,54,2022-03-14,3.47,11,107,41,
46742610,Romantic Loft Apartment with Breathtaking Views,4592974,Stephan And Francesca,,Ward 61,-34.19682,18.37693,Entire home/apt,1914,2,60,2022-03-23,3.84,1,169,37,
46742953,Authentic Bo Kaap Townhouse with Rooftop Deck,377754896,Clayton,,Ward 115,-33.92388,18.41485,Entire home/apt,1242,2,23,2022-03-15,1.44,1,330,18,
46743132,Garden View POD - includes free breakfast,377742607,Sami-Jo,,Ward 54,-33.94684,18.38078,Entire home/apt,894,1,33,2022-03-23,2.28,11,112,28,
46743775,Ravine Views POD - includes free breakfast,377742607,Sami-Jo,,Ward 54,-33.94684,18.38078,Entire home/apt,894,1,33,2022-03-05,2.12,11,111,29,
46747532,Light Loft with Mountain and Ocean Views,108583627,Jean,,Ward 74,-34.02433,18.35521,Entire home/apt,790,1,30,2022-03-21,1.99,1,62,20,
46747573,Cosy Sea Point Home,49479294,Catherine,,Ward 54,-33.91363,18.39917,Entire home/apt,1800,5,3,2022-01-10,0.20,1,0,2,
46751540,Idyllic Summer Retreat with Inter-leading Pools,53419956,Janina,,Ward 62,-34.00416,18.42872,Entire home/apt,1000,1,12,2022-01-08,0.77,15,45,8,
46763354,Modern and Light Apartment in Century City,377915973,Heine,,Ward 55,-33.89165,18.51573,Entire home/apt,745,2,24,2022-03-08,1.60,1,326,21,
46763748,CAPE CONCIERGE - CLIFTON COTTAGE,24108747,Cape Concierge - Nina,,Ward 54,-33.94046,18.37666,Entire home/apt,5000,6,0,,,3,75,0,
46764970,Spacious & modern with views of Sea Point.,10484689,Scarlett,,Ward 115,-33.90871,18.39761,Entire home/apt,4600,2,6,2022-02-27,0.58,16,99,6,
46765055,The Village Family apartment in Houtbay with views,112191297,Itchospitality,,Ward 74,-34.04608,18.35797,Entire home/apt,2336,2,4,2021-05-02,0.30,32,230,3,
46765157,Broadway Guesthouse -  Tygervalley (room 3),377917374,Nicky,,Ward 21,-33.88469,18.63911,Private room,800,1,0,,,2,365,0,
46767063,Spacious private bedroom @ Sea Cottage,112508958,Andrew,,Ward 100,-34.15082,18.8669,Private room,350,1,15,2022-03-13,1.00,1,176,13,
46768692,Youniverse Studio,300667928,Anthea,,Ward 61,-34.14286,18.33311,Entire home/apt,749,1,44,2022-03-11,2.80,1,303,32,
